3151,10755
1462,9654
2531,12662
3192,8899
4008,10049
3495,9354
3655,8967
6314,9641
3495,9328
997,9328
3519,12381
1483,9539
5512,12488
3664,9590
1052,9800
1330,13533
843,10804
6347,11714
2111,11714
5261,11413
1982,8904
2773,8954
1385,9625
640,9625
1390,12652
5575,9339
5569,13326
2882,10570
5937,13569
3040,9490
2034,9490
577,12890
3751,9014
3279,10957
3202,13216
7672,13837
188,11373
620,11321
5753,11369
1415,10932
4355,11770
757,10899
2765,12710
703,10030
4076,13064
853,12431
7640,9645
3762,9431
5783,9333
1704,13205
3102,12075
6872,9060
3621,10914
5164,11869
7016,11517
2279,11309
3297,10894
640,8985
5846,8926
292,8931
339,10109
4735,13609
943,9833
3010,10493
3734,10037
3843,12528
6923,12036
1325,11504
2878,10306
2669,14326
4619,12454
5438,12461
354,8841
779,8841
4388,13585
788,12503
6519,14225
4490,12875
104,8886
4020,8944
3424,8944
618,8942
5171,11609
1121,11518
4546,12243
2113,9768
2257,11358
3834,9712
4981,10276
6988,9345
689,11357
3899,11915
1137,10518
1941,9313
3724,8910
4226,8910
4671,9185
3764,9185
4914,9136
1048,12147
4493,11403
1362,10644
847,11794
5281,8917
4997,8917
5232,8917
3055,10395
1297,10961
3966,14159
1613,8894
3237,11150
2375,9497
3325,10529
4224,9445
2620,9537
6444,9453
5083,9453
6460,9076
1572,8865
2399,9706
1625,10265
4030,9036
3058,11634
1144,10414
2541,12753
3483,9479
2315,9996
1826,11271
5664,9096
6402,9096
699,9309
1112,11020
627,9305
4036,9305
3450,10966
627,10820
4570,10463
4014,13764
693,9808
2449,11418
2935,11077
1615,8827
6642,9053
1808,10477
1421,12339
5982,10998
1619,8962
5714,9470
2975,10450
4121,10580
6758,10662
5380,10768
2976,10777
5356,9349
3707,12093
3882,9020
3104,11008
6598,9772
2347,9052
6584,12901
1517,10069
4402,14196
5720,9673
5128,8961
4078,13644
412,8941
4996,9315
3876,8878
1359,9821
5884,11190
1618,8900
609,8900
1150,9811
4624,8911
4040,9691
1674,8933
746,10271
7258,11564
2188,10342
757,11223
3854,11025
1035,9619
959,9779
3178,10926
895,9406
4357,11909
3182,11592
1760,12849
948,8903
2349,8903
1918,8943
2106,9392
2427,10183
2750,10183
3231,10059
2498,14267
4988,9393
640,11761
4890,10546
6176,11868
1743,9065
3041,10795
1137,12127
948,9661
2060,9214
3075,9214
245,9214
3089,9214
2022,9744
1755,8869
5213,13512
1231,9561
2864,8838
3089,8838
4960,9746
2578,10494
3597,12136
76,9000
5265,12578
7112,8902
6182,12455
3199,9366
1117,8876
1412,9759
4887,9324
613,9316
5800,10118
2605,9359
1180,9771
4945,9434
2435,9564
987,10363
5795,11811
4442,10900
5503,11624
3914,10701
2609,9423
5542,13028
778,11176
5092,10032
627,11672
1450,9032
305,10925
3861,10012
1736,9615
4470,11243
897,9033
2456,12918
7213,9289
4698,9014
2644,10133
4269,10935
5827,11126
6101,8997
6117,11642
4075,9122
4912,12598
5049,15190
2899,10944
1538,10699
1055,9157
2415,12363
6172,9060
4115,10385
4103,9474
4734,10938
1566,11268
1167,14335
2347,10402
2677,9183
2422,9055
4987,15295
1164,9243
3181,10247
2132,8835
6870,13055
4696,9352
4494,10426
3736,8910
3966,13207
6494,9185
4504,9136
4925,10486
2151,8833
3965,9346
3035,9805
3793,10395
2442,9601
368,9373
2284,12262
3325,12560
3448,11034
3036,10288
2271,10288
1044,12073
4956,9036
4033,11071
2536,12204
4967,10219
3095,9952
1112,11103
4975,9410
2257,9178
6648,10893
2345,8827
4909,9248
330,10456
1806,10635
2441,14280
2403,9041
2954,12086
166,13724
1359,9315
5749,13958
3612,9381
5309,14213
6675,8905
7038,9141
7377,9304
4995,10189
1484,9809
1746,9809
2181,9620
1027,10039
1813,8843
1718,9894
760,11545
700,10174
5530,11679
2021,9957
1815,8902
1572,10098
1333,9478
2946,9051
1039,14110
3773,11410
843,9217
3964,8954
2017,10931
1028,10935
5817,9180
2055,11758
1257,9695
1244,11835
7057,15224
3130,9749
6656,11840
3305,10922
1078,9748
6285,8926
3520,12335
1189,12698
7154,10419
6650,10979
2316,9562
6065,11937
486,9323
1555,12212
5458,11862
5152,10064
